,object,pos_x,pos_y,pos_z,nor_x,nor_y,nor_z,type
0,sphere,0.35740676522254944,-0.49352461099624634,0.510932207107544,0.35740676522254944,-0.49352461099624634,0.510932207107544,good
1,sphere,-0.5154350399971008,-0.5189588665962219,0.39110416173934937,-0.5154350399971008,-0.5189588665962219,0.39110416173934937,good
2,sphere,0.4060068130493164,0.4467735290527344,0.5198265314102173,0.4060068130493164,0.4467735290527344,0.5198265314102173,good
3,sphere,-0.5650004744529724,0.41590970754623413,0.5169938802719116,-0.5650004744529724,0.41590970754623413,0.5169938802719116,good
4,sphere,-0.6569032669067383,-0.5798259973526001,-0.6380833387374878,-0.6569032669067383,-0.5798259973526001,-0.6380833387374878,good
5,sphere,0.5566319227218628,-0.60884690284729,-0.5302917957305908,0.5566319227218628,-0.60884690284729,-0.5302917957305908,good
6,sphere,-0.5991944670677185,0.5399510860443115,-0.5904551148414612,-0.5991944670677185,0.5399510860443115,-0.5904551148414612,good
7,sphere,0.38611552119255066,0.47014206647872925,-0.4916743040084839,0.38611552119255066,0.47014206647872925,-0.4916743040084839,good
8,sphere,-0.19144117832183838,-0.19093409180641174,0.4910079538822174,-0.19144117832183838,-0.19093409180641174,0.4910079538822174,good
9,sphere,-0.005126386880874634,0.07772752642631531,-0.6860285997390747,-0.005126386880874634,0.07772752642631531,-0.6860285997390747,good
10,sphere,-0.03627157211303711,0.39582982659339905,-0.06875365972518921,-0.03627157211303711,0.39582982659339905,-0.06875365972518921,good
11,sphere,-0.026574015617370605,-0.3785882294178009,-0.166151225566864,-0.026574015617370605,-0.3785882294178009,-0.166151225566864,good
12,sphere,0.4689919054508209,-0.14351990818977356,-0.09980365633964539,0.4689919054508209,-0.14351990818977356,-0.09980365633964539,good
13,sphere,-0.5131933093070984,0.07830800116062164,-0.1905854344367981,-0.5131933093070984,0.07830800116062164,-0.1905854344367981,good
14,sphere,-0.04257437586784363,-0.5315014123916626,0.4410940110683441,-0.04257437586784363,-0.5315014123916626,0.4410940110683441,good
15,sphere,-0.5303500890731812,-0.059188783168792725,0.48770007491111755,-0.5303500890731812,-0.059188783168792725,0.48770007491111755,good
16,sphere,-0.0031637251377105713,0.3886566758155823,0.3877793848514557,-0.0031637251377105713,0.3886566758155823,0.3877793848514557,good
17,sphere,0.3247755765914917,-0.09973582625389099,0.47650113701820374,0.3247755765914917,-0.09973582625389099,0.47650113701820374,good
18,sphere,-0.13846349716186523,-0.48697736859321594,-0.6808500289916992,-0.13846349716186523,-0.48697736859321594,-0.6808500289916992,good
19,sphere,0.4633241891860962,-0.10185268521308899,-0.557665228843689,0.4633241891860962,-0.10185268521308899,-0.557665228843689,good
20,sphere,-0.04586955904960632,0.4737991690635681,-0.5312505960464478,-0.04586955904960632,0.4737991690635681,-0.5312505960464478,good
21,sphere,-0.5631262063980103,-0.033190250396728516,-0.6304595470428467,-0.5631262063980103,-0.033190250396728516,-0.6304595470428467,good
22,sphere,0.4939771890640259,0.3450963497161865,-0.0447922945022583,0.4939771890640259,0.3450963497161865,-0.0447922945022583,good
23,sphere,-0.5698486566543579,0.4751954674720764,-0.10101470351219177,-0.5698486566543579,0.4751954674720764,-0.10101470351219177,good
24,sphere,-0.6134244203567505,-0.4133220911026001,-0.17218631505966187,-0.6134244203567505,-0.4133220911026001,-0.17218631505966187,good
25,sphere,0.42358461022377014,-0.5438854694366455,-0.050563424825668335,0.42358461022377014,-0.5438854694366455,-0.050563424825668335,good
26,sphere,0.08065837621688843,-0.2764018774032593,0.5394169688224792,0.08065837621688843,-0.2764018774032593,0.5394169688224792,good
27,sphere,-0.29234758019447327,-0.23660841584205627,0.4073562026023865,-0.29234758019447327,-0.23660841584205627,0.4073562026023865,good
28,sphere,-0.31931012868881226,0.11975559592247009,0.5321568250656128,-0.31931012868881226,0.11975559592247009,0.5321568250656128,good
29,sphere,0.12604627013206482,0.17795199155807495,0.5584375858306885,0.12604627013206482,0.17795199155807495,0.5584375858306885,good
30,sphere,-0.39693018794059753,-0.20719197392463684,-0.6456589102745056,-0.39693018794059753,-0.20719197392463684,-0.6456589102745056,good
31,sphere,0.22688773274421692,-0.33303940296173096,-0.6843229532241821,0.22688773274421692,-0.33303940296173096,-0.6843229532241821,good
32,sphere,0.17101654410362244,0.1773662567138672,-0.5921553373336792,0.17101654410362244,0.1773662567138672,-0.5921553373336792,good
33,sphere,-0.30965569615364075,0.3306123614311218,-0.6899287700653076,-0.30965569615364075,0.3306123614311218,-0.6899287700653076,good
34,sphere,-0.2966715395450592,0.5438352227210999,-0.28274762630462646,-0.2966715395450592,0.5438352227210999,-0.28274762630462646,good
35,sphere,0.21813586354255676,0.3888911008834839,-0.20914903283119202,0.21813586354255676,0.3888911008834839,-0.20914903283119202,good
36,sphere,0.19685348868370056,0.4162183105945587,0.2903960049152374,0.19685348868370056,0.4162183105945587,0.2903960049152374,good
37,sphere,-0.2844710350036621,0.4591675400733948,0.23126885294914246,-0.2844710350036621,0.4591675400733948,0.23126885294914246,good
38,sphere,0.23709970712661743,-0.4403447210788727,-0.3117193579673767,0.23709970712661743,-0.4403447210788727,-0.3117193579673767,good
39,sphere,-0.3538021445274353,-0.4750238060951233,-0.4577784538269043,-0.3538021445274353,-0.4750238060951233,-0.4577784538269043,good
40,sphere,-0.3103976249694824,-0.495826780796051,0.08369642496109009,-0.3103976249694824,-0.495826780796051,0.08369642496109009,good
41,sphere,0.08857062458992004,-0.5341174602508545,0.179185152053833,0.08857062458992004,-0.5341174602508545,0.179185152053833,good
42,sphere,0.4482548236846924,-0.3875211179256439,-0.25225308537483215,0.4482548236846924,-0.3875211179256439,-0.25225308537483215,good
