,object,pos_x,pos_y,pos_z,nor_x,nor_y,nor_z,type
0,sphere,0.5950621366500854,-0.5043169260025024,0.4927118718624115,0.5950621366500854,-0.5043169260025024,0.4927118718624115,good
1,sphere,-0.4897099733352661,-0.48736077547073364,0.5725972056388855,-0.4897099733352661,-0.48736077547073364,0.5725972056388855,good
2,sphere,0.5626621246337891,0.5354843139648438,0.4867823123931885,0.5626621246337891,0.5354843139648438,0.4867823123931885,good
3,sphere,-0.45666635036468506,0.5560601949691772,0.4886707365512848,-0.45666635036468506,0.5560601949691772,0.4886707365512848,good
4,sphere,-0.39539778232574463,-0.446782648563385,-0.4079444408416748,-0.39539778232574463,-0.446782648563385,-0.4079444408416748,good
5,sphere,0.462245374917984,-0.42743539810180664,-0.47980543971061707,0.462245374917984,-0.42743539810180664,-0.47980543971061707,good
6,sphere,-0.4338703751564026,0.4733659625053406,-0.43969660997390747,-0.4338703751564026,0.4733659625053406,-0.43969660997390747,good
7,sphere,0.575922966003418,0.5199052691459656,-0.5055504441261292,0.575922966003418,0.5199052691459656,-0.5055504441261292,good
8,sphere,0.1276274472475052,0.12728939950466156,0.5059946775436401,0.1276274472475052,0.12728939950466156,0.5059946775436401,good
9,sphere,0.00341758131980896,-0.05181834101676941,-0.3759809136390686,0.00341758131980896,-0.05181834101676941,-0.3759809136390686,good
10,sphere,0.024181053042411804,0.5694468021392822,0.04583577811717987,0.024181053042411804,0.5694468021392822,0.04583577811717987,good
11,sphere,0.017716005444526672,-0.5809412002563477,0.11076749861240387,0.017716005444526672,-0.5809412002563477,0.11076749861240387,good
12,sphere,0.520672082901001,0.09567992389202118,0.06653575599193573,0.520672082901001,0.09567992389202118,0.06653575599193573,good
13,sphere,-0.4912044405937195,-0.05220533907413483,0.12705697119235992,-0.4912044405937195,-0.05220533907413483,0.12705697119235992,good
14,sphere,0.028382927179336548,-0.4789990782737732,0.5392706394195557,0.028382927179336548,-0.4789990782737732,0.5392706394195557,good
15,sphere,-0.4797666072845459,0.03945918381214142,0.50819993019104,-0.4797666072845459,0.03945918381214142,0.50819993019104,good
16,sphere,0.002109140157699585,0.5742288827896118,0.574813723564148,0.002109140157699585,0.5742288827896118,0.574813723564148,good
17,sphere,0.6168162822723389,0.0664905458688736,0.5156658887863159,0.6168162822723389,0.0664905458688736,0.5156658887863159,good
18,sphere,0.09230901300907135,-0.5086817741394043,-0.3794333338737488,0.09230901300907135,-0.5086817741394043,-0.3794333338737488,good
19,sphere,0.5244505405426025,0.06790177524089813,-0.4615565240383148,0.5244505405426025,0.06790177524089813,-0.4615565240383148,good
20,sphere,0.030579715967178345,0.517467200756073,-0.47916629910469055,0.030579715967178345,0.517467200756073,-0.47916629910469055,good
21,sphere,-0.45791587233543396,0.02212683856487274,-0.41302698850631714,-0.45791587233543396,0.02212683856487274,-0.41302698850631714,good
22,sphere,0.5040152072906494,0.603269100189209,0.02986152470111847,0.5040152072906494,0.603269100189209,0.02986152470111847,good
23,sphere,-0.45343419909477234,0.5165363550186157,0.06734313070774078,-0.45343419909477234,0.5165363550186157,0.06734313070774078,good
24,sphere,-0.4243837594985962,-0.5577852725982666,0.11479087173938751,-0.4243837594985962,-0.5577852725982666,0.11479087173938751,good
25,sphere,0.5509436130523682,-0.47074300050735474,0.03370895981788635,0.5509436130523682,-0.47074300050735474,0.03370895981788635,good
26,sphere,0.3628944158554077,-0.23239874839782715,0.47372201085090637,0.3628944158554077,-0.23239874839782715,0.47372201085090637,good
27,sphere,-0.22176828980445862,-0.25892770290374756,0.5617625117301941,-0.22176828980445862,-0.25892770290374756,0.5617625117301941,good
28,sphere,-0.2037932425737381,0.33682960271835327,0.4785621464252472,-0.2037932425737381,0.33682960271835327,0.4785621464252472,good
29,sphere,0.3326358199119568,0.2980319857597351,0.4610416293144226,0.3326358199119568,0.2980319857597351,0.4610416293144226,good
30,sphere,-0.1520465463399887,-0.27853867411613464,-0.4028940796852112,-0.1520465463399887,-0.27853867411613464,-0.4028940796852112,good
31,sphere,0.2654081881046295,-0.1946403831243515,-0.3771180510520935,0.2654081881046295,-0.1946403831243515,-0.3771180510520935,good
32,sphere,0.3026556372642517,0.29842251539230347,-0.43856310844421387,0.3026556372642517,0.29842251539230347,-0.43856310844421387,good
33,sphere,-0.2102295458316803,0.19625842571258545,-0.37338078022003174,-0.2102295458316803,0.19625842571258545,-0.37338078022003174,good
34,sphere,-0.2188856303691864,0.4707764983177185,-0.22816824913024902,-0.2188856303691864,0.4707764983177185,-0.22816824913024902,good
35,sphere,0.27124276757240295,0.5740725994110107,-0.2772339880466461,0.27124276757240295,0.5740725994110107,-0.2772339880466461,good
36,sphere,0.28543099761009216,0.5558544397354126,0.22306933999061584,0.28543099761009216,0.5558544397354126,0.22306933999061584,good
37,sphere,-0.2270193099975586,0.5272216200828552,0.2624874413013458,-0.2270193099975586,0.5272216200828552,0.2624874413013458,good
