,object,pos_x,pos_y,pos_z,nor_x,nor_y,nor_z,type
0,sphere,0.1435168981552124,-0.48381149768829346,0.5273304581642151,0.1435168981552124,-0.48381149768829346,0.5273304581642151,bad
1,sphere,-0.5385875701904297,-0.5473971366882324,0.2277604341506958,-0.5385875701904297,-0.5473971366882324,0.2277604341506958,bad
2,sphere,0.265017032623291,0.36693382263183594,0.5495663285255432,0.265017032623291,0.36693382263183594,0.5495663285255432,bad
3,sphere,-0.6625012159347534,0.2897742986679077,0.5424847602844238,-0.6625012159347534,0.2897742986679077,0.5424847602844238,bad
4,sphere,-0.8922581672668457,-0.699565052986145,-0.8452084064483643,-0.8922581672668457,-0.699565052986145,-0.8452084064483643,bad
5,sphere,0.641579806804657,-0.7721171379089355,-0.5757296085357666,0.641579806804657,-0.7721171379089355,-0.5757296085357666,bad
6,sphere,-0.7479861378669739,0.5998777151107788,-0.7261377573013306,-0.7479861378669739,0.5998777151107788,-0.7261377573013306,bad
7,sphere,0.21528875827789307,0.4253551959991455,-0.4791858196258545,0.21528875827789307,0.4253551959991455,-0.4791858196258545,bad
8,sphere,-0.47860288619995117,-0.47733521461486816,0.4775198698043823,-0.47860288619995117,-0.47733521461486816,0.4775198698043823,bad
9,sphere,-0.01281595230102539,0.1943187713623047,-0.9650715589523315,-0.01281595230102539,0.1943187713623047,-0.9650715589523315,bad
10,sphere,-0.09067893028259277,0.23957455158233643,-0.1718841791152954,-0.09067893028259277,0.23957455158233643,-0.1718841791152954,bad
11,sphere,-0.06643497943878174,-0.19647058844566345,-0.4153780937194824,-0.06643497943878174,-0.19647058844566345,-0.4153780937194824,bad
12,sphere,0.4224797487258911,-0.35879969596862793,-0.24950909614562988,0.4224797487258911,-0.35879969596862793,-0.24950909614562988,bad
13,sphere,-0.5329833030700684,0.1957700252532959,-0.47646355628967285,-0.5329833030700684,0.1957700252532959,-0.47646355628967285,bad
14,sphere,-0.10643595457077026,-0.5787534713745117,0.3527350425720215,-0.10643595457077026,-0.5787534713745117,0.3527350425720215,bad
15,sphere,-0.5758752226829529,-0.14797192811965942,0.4692502021789551,-0.5758752226829529,-0.14797192811965942,0.4692502021789551,bad
16,sphere,-0.007909297943115234,0.2216416597366333,0.21944844722747803,-0.007909297943115234,0.2216416597366333,0.21944844722747803,bad
17,sphere,0.06193900108337402,-0.24933958053588867,0.44125282764434814,0.06193900108337402,-0.24933958053588867,0.44125282764434814,bad
18,sphere,-0.3461587429046631,-0.46744346618652344,-0.9521249532699585,-0.3461587429046631,-0.46744346618652344,-0.9521249532699585,bad
19,sphere,0.4083104729652405,-0.2546316385269165,-0.6441630125045776,0.4083104729652405,-0.2546316385269165,-0.6441630125045776,bad
20,sphere,-0.114673912525177,0.4344979524612427,-0.5781264305114746,-0.114673912525177,0.4344979524612427,-0.5781264305114746,bad
21,sphere,-0.6578154563903809,-0.08297562599182129,-0.8261488676071167,-0.6578154563903809,-0.08297562599182129,-0.8261488676071167,bad
22,sphere,0.4849429726600647,0.11274087429046631,-0.11198067665100098,0.4849429726600647,0.11274087429046631,-0.11198067665100098,bad
23,sphere,-0.6746217012405396,0.43798863887786865,-0.2525367736816406,-0.6746217012405396,0.43798863887786865,-0.2525367736816406,bad
24,sphere,-0.7835609912872314,-0.28330522775650024,-0.4304656982421875,-0.7835609912872314,-0.28330522775650024,-0.4304656982421875,bad
25,sphere,0.30896151065826416,-0.6097136735916138,-0.12640857696533203,0.30896151065826416,-0.6097136735916138,-0.12640857696533203,bad
26,sphere,-0.17335402965545654,-0.3160046935081482,0.5985424518585205,-0.17335402965545654,-0.3160046935081482,0.5985424518585205,bad
27,sphere,-0.355868935585022,-0.21652108430862427,0.2683905363082886,-0.355868935585022,-0.21652108430862427,0.2683905363082886,bad
28,sphere,-0.423275351524353,-0.07561099529266357,0.5803920030593872,-0.423275351524353,-0.07561099529266357,0.5803920030593872,bad
29,sphere,-0.05988430976867676,0.06988000869750977,0.6460939645767212,-0.05988430976867676,0.06988000869750977,0.6460939645767212,bad
30,sphere,-0.6173255443572998,-0.14297997951507568,-0.8641471862792969,-0.6173255443572998,-0.14297997951507568,-0.8641471862792969,bad
31,sphere,0.1922193169593811,-0.4575985074043274,-0.9608073234558105,0.1922193169593811,-0.4575985074043274,-0.9608073234558105,bad
32,sphere,0.052541375160217285,0.06841564178466797,-0.7303884029388428,0.052541375160217285,0.06841564178466797,-0.7303884029388428,bad
33,sphere,-0.3991392254829407,0.45153093338012695,-0.9748220443725586,-0.3991392254829407,0.45153093338012695,-0.9748220443725586,bad
34,sphere,-0.3666788339614868,0.609588086605072,-0.33186906576156616,-0.3666788339614868,0.609588086605072,-0.33186906576156616,bad
35,sphere,0.1703396439552307,0.2222278118133545,-0.14787256717681885,0.1703396439552307,0.2222278118133545,-0.14787256717681885,bad
36,sphere,0.1171337366104126,0.2905457615852356,0.3509899973869324,0.1171337366104126,0.2905457615852356,0.3509899973869324,bad
37,sphere,-0.3361775875091553,0.3979188799858093,0.20317208766937256,-0.3361775875091553,0.3979188799858093,0.20317208766937256,bad
